liturgical_date,calendar_date,first_reading,psalm_reading,second_reading,gospel_reading
Ascension of the Lord,2023-05-18,Acts 1:1-11,Psalm 47 or Psalm 93,Ephesians 1:15-23,Luke 24:44-53
Seventh Sunday of Easter,2023-05-21,Acts 1:6-14,Psalm 68:1-10; 32-35,1 Peter 4:12-14; 5:6-11,John 17:1-11
Day of Pentecost,2023-05-28,Acts 2:1-21 or Numbers 11:24-30,Psalm 104:24-34; 35b,1 Corinthians 12:3b-13 or Acts 2:1-21,John 20:19-23 or John 7:37-39
Visitation of Mary to Elizabeth ,2023-05-31,1 Samuel 2:1-10,Psalm 113,Romans 12:9-16b,Luke 1:39-57
Trinity Sunday,2023-06-04,Genesis 1:1-2:4a and Psalm 8,,2 Corinthians 13:11-13,Matthew 28:16-20
Proper 5 (10),2023-06-11,Genesis 12:1-9 and Psalm 33:1-12,Hosea 5:15-6:6 and Psalm 50:7-15,Romans 4:13-25,Matthew 9:9-13; 18-26
Proper 6 (11),2023-06-18,Genesis 18:1-15; (21:1-7) and Psalm 116:1-2; 12-19,Exodus 19:2-8a and Psalm 100,Romans 5:1-8,Matthew 9:35-10:8; (9-23)
Proper 7 (12),2023-06-25,Genesis 21:8-21 and Psalm 86:1-10; 16-17,Jeremiah 20:7-13 and Psalm 69:7-10; (11-15); 16-18,Romans 6:1b-11,Matthew 10:24-39
Proper 8 (13),2023-07-02,Genesis 22:1-14 and Psalm 13,Jeremiah 28:5-9 and Psalm 89:1-4; 15-18,Romans 6:12-23,Matthew 10:40-42
Proper 9 (14),2023-07-09,Genesis 24:34-38; 42-49; 58-67 and Psalm 45:10-17 or Song of Solomon 2:8-13,Zechariah 9:9-12 and Psalm 145:8-14,Romans 7:15-25a,Matthew 11:16-19; 25-30
Proper 10 (15),2023-07-16,Genesis 25:19-34 and Psalm 119:105-112,Isaiah 55:10-13 and Psalm 65:(1-8); 9-13,Romans 8:1-11,Matthew 13:1-9; 18-23
Proper 11 (16),2023-07-23,Genesis 28:10-19a and Psalm 139:1-12; 23-24,Wisdom of Solomon 12:13; 16-19 or Isaiah 44:6-8 and Psalm 86:11-17,Romans 8:12-25,Matthew 13:24-30; 36-43
Proper 12 (17),2023-07-30,Genesis 29:15-28 and Psalm 105:1-11; 45b or Psalm 128,1 Kings 3:5-12 and Psalm 119:129-136,Romans 8:26-39,Matthew 13:31-33; 44-52
